date	text_location	approx_location	lat_lon	source
1943-07-02	Castelvetrano, Italy	Castelvetrano, Italy	37.6785135, 12.7917794	1
1944-01-27	Anzio, Italy	Anzio, Italy	41.4495955, 12.6197253	1
1944-01-28	Anzio, Italy	Anzio, Italy	41.4495955, 12.6197253	1
1944-02-05	Anzio, Italy	Anzio, Italy	41.4495955, 12.6197253	1
1944-02-07	Anzio, Italy	Anzio, Italy	41.4495955, 12.6197253	1
1944-06-09	Udine area, Italy	Udine, Italy	46.0710668, 13.2345794	1
1944-07-12	Nîmes, France	Nîmes, France	43.836699, 4.360054	1
1944-07-16	Vienna, Austria	Vienna, Austria	48.2081743, 16.3738189	1
1944-07-17	Avignon, France	Avignon, France	43.94931700000001, 4.805528	1
1944-07-18	Memmingen, Germany	Memmingen, Germany	47.9837999, 10.1801883	1
1944-07-20	Udine area, Italy	Udine, Italy	46.0710668, 13.2345794	1
1944-07-25	Linz, Austria	Linz, Austria	48.30694, 14.28583	1
1944-07-26	Markendorf airdrome, Germany	Markendorf, Germany	52.3096374, 14.4897426	1
1944-07-27	North of Lake Balaton, Hungary	Lake Balaton, Hungary	46.8302679, 17.7340438	1
1944-07-30	Budapest, Hungary	Budapest, Hungary	47.497912, 19.040235	1
1944-08-14	Toulon area, France	Toulon, France	43.124228, 5.928	1
1944-08-23	Markersdorf Airdrome, Germany	Markersdorf, Germany	51.14578969999999, 14.8846716	1
1944-08-24	Pardubice Airdrome, Czechoslovakia	Pardubice, Czechoslovakia	50.0343092, 15.7811994	1
1944-10-12	Tapolca, Hungary	Tapolca, Hungary	46.8834475, 17.4371124	1
1944-11-16	Udine area, Italy	Udine, Italy	46.0710668, 13.2345794	1
1945-03-16	Mettenheim, Germany	Mettenheim, Germany	48.26556979999999, 12.464053	1
1945-03-24	Daimler-Benz tank factory, Berlin, Germany	Berlin, Germany	52.52000659999999, 13.404954	1
1945-03-31	Munich area, Germany	Munich, Germany	48.1351253, 11.5819805	1
1945-04-01	Linz area, Austria	Linz, Austria	48.30694, 14.28583	1
1945-04-15	Munich area, Germany	Munich, Germany	48.1351253, 11.5819805	2
1945-04-26	Prague (CZ), Linz, Amstetten (AT)	Prague (CZ), Linz, Amstetten (AT)		1